Ticker,Company,Sector,Sector_Raw,Total_Revenue_B,Market_Cap_B,Market_Cap_Quartile,ROE,Profit_Margin,Beta,Headcount,Audit_Risk,Board_Risk,Compensation_Risk,Shareholder_Rights_Risk,Overall_Governance_Risk,Governance_Risk_Level
MMM,3M Company,Industrials & Energy,Industrials,25.18,85.553,Q3,0.8189,0.119,1.074,60500.0,5.0,7.0,5.0,4.0,5.0,Medium
AOS,A.O. Smith Corporation,Industrials & Energy,Industrials,3.805,7.74,Q1,0.2713,0.1315,1.153,11500.0,4.0,10.0,7.0,10.0,10.0,High
ABT,Abbott Laboratories,Healthcare,Healthcare,46.585,177.555,Q4,0.1058,0.1165,0.586,122000.0,9.0,6.0,6.0,2.0,5.0,Medium
ABBV,AbbVie Inc.,Healthcare,Healthcare,64.386,466.448,Q4,,0.098,0.281,57000.0,6.0,5.0,2.0,9.0,7.0,High
ACN,Accenture plc,Tech & Comms,Technology,73.101,110.939,Q4,0.2441,0.1066,1.092,799000.0,1.0,3.0,5.0,4.0,2.0,Low
ADBE,Adobe Inc.,Tech & Comms,Technology,25.97,98.946,Q4,0.619,0.2805,1.417,31360.0,1.0,6.0,10.0,1.0,8.0,High
AMD,"Advanced Micro Devices, Inc.",Tech & Comms,Technology,41.305,913.892,Q4,0.102,0.1558,2.476,31000.0,10.0,3.0,8.0,3.0,5.0,Medium
AES,The AES Corporation,Industrials & Energy,Utilities,13.054,10.58,Q1,0.0957,0.1434,0.95,8336.0,10.0,8.0,8.0,4.0,9.0,High
AFL,AFLAC Incorporated,Finance,Financial Services,18.069,58.321,Q3,0.1691,0.2691,0.58,12716.0,8.0,5.0,6.0,9.0,8.0,High
A,"Agilent Technologies, Inc.",Healthcare,Healthcare,7.372,44.119,Q2,0.2097,0.1953,1.241,18200.0,8.0,3.0,7.0,6.0,5.0,Medium
APD,"Air Products and Chemicals, Inc",Industrials & Energy,Basic Materials,12.602,63.283,Q3,0.0002,-0.0037,0.754,21087.0,9.0,1.0,4.0,3.0,1.0,Low
ABNB,"Airbnb, Inc.",Consumer,Consumer Cyclical,13.159,99.53,Q4,0.3454,0.2045,1.161,8200.0,9.0,10.0,9.0,10.0,10.0,High
AKAM,"Akamai Technologies, Inc.",Tech & Comms,Technology,4.323,15.021,Q1,0.0892,0.0951,0.635,11000.0,2.0,6.0,2.0,6.0,4.0,Medium
ALB,Albemarle Corporation,Industrials & Energy,Basic Materials,5.908,13.088,Q1,0.0265,0.0379,1.334,7800.0,9.0,7.0,3.0,8.0,7.0,High
ARE,Alexandria Real Estate Equities,Consumer,Real Estate,2.84,9.173,Q1,-0.0408,-0.3608,1.168,514.0,8.0,9.0,1.0,8.0,8.0,High
ALGN,"Align Technology, Inc.",Healthcare,Healthcare,4.14,10.486,Q1,0.1016,0.0999,1.643,20435.0,1.0,4.0,9.0,7.0,7.0,High
ALLE,Allegion plc,Industrials & Energy,Industrials,4.288,12.949,Q1,0.3373,0.1536,0.841,13300.0,6.0,3.0,2.0,8.0,4.0,Medium
LNT,Alliant Energy Corporation,Industrials & Energy,Utilities,4.429,17.01,Q1,0.1114,0.1845,0.532,2948.0,5.0,1.0,1.0,3.0,1.0,Low
ALL,Allstate Corporation (The),Finance,Financial Services,70.137,63.172,Q3,0.4611,0.1897,0.15,53000.0,4.0,7.0,7.0,1.0,2.0,Low
GOOGL,Alphabet Inc.,Tech & Comms,Communication Services,445.866,4274.852,Q4,0.4868,0.5477,1.225,198933.0,8.0,8.0,10.0,10.0,10.0,High
GOOG,Alphabet Inc.,Tech & Comms,Communication Services,445.866,4212.112,Q4,0.4868,0.5477,1.225,198933.0,,,,,,
MO,"Altria Group, Inc.",Consumer,Consumer Defensive,20.444,116.081,Q4,,0.39,0.494,5900.0,6.0,1.0,2.0,6.0,2.0,Low
AMZN,"Amazon.com, Inc.",Consumer,Consumer Cyclical,775.68,2736.596,Q4,0.3056,0.1744,1.443,1595000.0,2.0,8.0,10.0,3.0,9.0,High
AMCR,Amcor plc,Consumer,Consumer Cyclical,23.506,19.372,Q1,0.094,0.0471,0.595,75000.0,8.0,4.0,4.0,8.0,7.0,High
AEE,Ameren Corporation,Industrials & Energy,Utilities,8.411,28.302,Q2,0.1194,0.1858,0.47,8913.0,6.0,8.0,5.0,8.0,8.0,High
AEP,American Electric Power Company,Industrials & Energy,Utilities,22.791,65.328,Q3,0.1013,0.1378,0.5,17581.0,8.0,6.0,7.0,6.0,7.0,High
AXP,American Express Company,Finance,Financial Services,70.913,210.4,Q4,0.3438,0.1614,1.048,76800.0,4.0,9.0,1.0,6.0,5.0,Medium
AIG,"American International Group, I",Finance,Financial Services,26.739,39.39,Q2,0.0722,0.1109,0.511,22100.0,5.0,6.0,5.0,2.0,4.0,Medium
AMT,American Tower Corporation (REI,Consumer,Real Estate,10.942,81.068,Q3,0.3391,0.3108,0.895,4866.0,1.0,3.0,3.0,3.0,1.0,Low
AWK,"American Water Works Company, I",Industrials & Energy,Utilities,5.284,27.007,Q2,0.1009,0.2135,0.58,7000.0,5.0,1.0,1.0,4.0,1.0,Low
AMP,"Ameriprise Financial, Inc.",Finance,Financial Services,19.839,48.082,Q3,0.6343,0.199,1.134,13600.0,9.0,5.0,7.0,5.0,6.0,Medium
AME,"AMETEK, Inc.",Industrials & Energy,Industrials,7.864,54.482,Q3,0.1456,0.2004,0.989,22500.0,2.0,6.0,3.0,9.0,8.0,High
AMGN,Amgen Inc.,Healthcare,Healthcare,38.095,208.495,Q4,0.9147,0.2295,0.426,31500.0,7.0,8.0,2.0,2.0,3.0,Low
APH,Amphenol Corporation,Tech & Comms,Technology,29.012,191.236,Q4,0.3811,0.1773,1.242,170000.0,6.0,8.0,7.0,2.0,6.0,Medium
ADI,"Analog Devices, Inc.",Tech & Comms,Technology,13.882,182.061,Q4,0.1223,0.2979,1.205,24500.0,9.0,9.0,7.0,6.0,8.0,High
AON,Aon plc,Finance,Financial Services,17.577,62.713,Q3,0.447,0.2227,0.66,60000.0,7.0,1.0,10.0,8.0,9.0,High
APA,APA Corporation,Industrials & Energy,Energy,8.572,15.72,Q1,0.2666,0.1956,0.366,1791.0,5.0,2.0,9.0,7.0,7.0,High
APO,"Apollo Global Management, Inc. ",Finance,Financial Services,35.598,74.355,Q3,0.1141,0.0527,1.514,6140.0,9.0,9.0,10.0,5.0,9.0,High
AAPL,Apple Inc.,Tech & Comms,Technology,466.823,4905.542,Q4,1.4875,0.2762,1.085,150000.0,2.0,1.0,6.0,1.0,1.0,Low
AMAT,"Applied Materials, Inc.",Tech & Comms,Technology,30.837,352.81,Q4,0.4107,0.3005,1.597,38900.0,2.0,2.0,2.0,1.0,1.0,Low
APP,Applovin Corporation,Tech & Comms,Communication Services,6.829,103.49,Q4,2.0369,0.6458,2.488,876.0,1.0,9.0,10.0,10.0,10.0,High
APTV,Aptiv PLC,Consumer,Consumer Cyclical,20.518,9.051,Q1,0.0516,0.0107,1.33,140000.0,6.0,8.0,6.0,8.0,8.0,High
ACGL,Arch Capital Group Ltd.,Finance,Financial Services,19.232,33.062,Q2,0.1994,0.244,0.282,8000.0,6.0,4.0,2.0,8.0,5.0,Medium
ADM,Archer-Daniels-Midland Company,Consumer,Consumer Defensive,82.099,41.053,Q2,0.0764,0.0216,0.613,40798.0,10.0,8.0,2.0,1.0,6.0,Medium
ARES,Ares Management Corporation,Finance,Financial Services,5.988,41.074,Q2,0.1494,0.1063,1.517,4343.0,8.0,10.0,10.0,10.0,10.0,High
ANET,"Arista Networks, Inc.",Tech & Comms,Technology,10.541,251.476,Q4,0.3148,0.3837,1.617,5115.0,1.0,10.0,10.0,10.0,10.0,High
AJG,Arthur J. Gallagher & Co.,Finance,Financial Services,15.109,61.389,Q3,0.0672,0.1038,0.506,67456.0,5.0,6.0,7.0,5.0,6.0,Medium
AIZ,"Assurant, Inc.",Finance,Financial Services,13.456,13.921,Q1,0.1834,0.079,0.542,14800.0,1.0,1.0,4.0,5.0,1.0,Low
T,AT&T Inc.,Tech & Comms,Communication Services,127.239,174.051,Q4,0.1834,0.1694,0.431,133030.0,1.0,6.0,5.0,3.0,3.0,Low
ATO,Atmos Energy Corporation,Industrials & Energy,Utilities,4.922,27.089,Q2,0.0979,0.285,0.594,5487.0,9.0,8.0,6.0,7.0,8.0,High
ADSK,"Autodesk, Inc.",Tech & Comms,Technology,7.79,45.343,Q3,0.5385,0.2108,1.309,14300.0,1.0,2.0,7.0,2.0,2.0,Low
ADP,"Automatic Data Processing, Inc.",Tech & Comms,Technology,21.947,107.746,Q4,0.7224,0.2011,0.83,67000.0,1.0,3.0,1.0,2.0,1.0,Low
AZO,"AutoZone, Inc.",Consumer,Consumer Cyclical,19.986,46.614,Q3,,0.124,0.34,78000.0,5.0,7.0,3.0,4.0,4.0,Medium
AVY,Avery Dennison Corporation,Consumer,Consumer Cyclical,9.248,12.71,Q1,0.3116,0.0762,0.814,35000.0,8.0,9.0,2.0,6.0,7.0,High
AXON,"Axon Enterprise, Inc.",Industrials & Energy,Industrials,3.219,36.375,Q2,0.0622,0.0619,1.399,5100.0,10.0,4.0,9.0,5.0,9.0,High
BKR,Baker Hughes Company,Industrials & Energy,Energy,27.725,56.831,Q3,0.1646,0.1117,0.961,54000.0,3.0,6.0,8.0,2.0,5.0,Medium
BALL,Ball Corporation,Consumer,Consumer Cyclical,14.326,15.922,Q1,0.1715,0.0661,0.951,16000.0,8.0,2.0,5.0,9.0,7.0,High
BAC,Bank of America Corporation,Finance,Financial Services,113.931,403.691,Q4,0.112,0.2952,1.164,211000.0,10.0,5.0,6.0,2.0,6.0,Medium
BAX,Baxter International Inc.,Healthcare,Healthcare,11.47,11.788,Q1,-0.1437,-0.0927,0.595,37500.0,3.0,2.0,9.0,2.0,6.0,Medium
BDX,"Becton, Dickinson and Company",Healthcare,Healthcare,22.484,49.286,Q3,0.0661,0.0419,0.276,72000.0,3.0,6.0,5.0,1.0,2.0,Low
BRK-B,Berkshire Hathaway Inc. New,Finance,Financial Services,384.687,1091.27,Q4,0.1212,0.223,0.603,387800.0,10.0,10.0,9.0,10.0,10.0,High
BBY,"Best Buy Co., Inc.",Consumer,Consumer Cyclical,42.201,19.473,Q1,0.4313,0.0301,1.305,82000.0,5.0,1.0,6.0,2.0,1.0,Low
