Ticker,Company,Sector_Raw,Sector,Total_Revenue_B,Market_Cap_B,ROE,Profit_Margin,Beta,Headcount,Audit_Risk,Board_Risk,Compensation_Risk,Shareholder_Rights_Risk,Overall_Governance_Risk,Market_Cap_Quartile,Governance_Risk_Level
MMM,3M Company,Industrials,Industrials & Energy,25.18,85.553,0.8189,0.119,1.074,60500.0,5.0,7.0,5.0,4.0,5.0,Q3,Medium
AOS,A.O. Smith Corporation,Industrials,Industrials & Energy,3.805,7.74,0.2713,0.1315,1.153,11500.0,4.0,10.0,7.0,10.0,10.0,Q1,High
ABT,Abbott Laboratories,Healthcare,Healthcare,46.585,177.555,0.1058,0.1165,0.586,122000.0,9.0,6.0,6.0,2.0,5.0,Q4,Medium
ABBV,AbbVie Inc.,Healthcare,Healthcare,64.386,466.448,,0.098,0.281,57000.0,6.0,5.0,2.0,9.0,7.0,Q4,High
ACN,Accenture plc,Technology,Tech & Comms,73.101,110.939,0.2441,0.1066,1.092,799000.0,1.0,3.0,5.0,4.0,2.0,Q4,Low
ADBE,Adobe Inc.,Technology,Tech & Comms,25.97,98.946,0.619,0.2805,1.417,31360.0,1.0,6.0,10.0,1.0,8.0,Q4,High
AMD,"Advanced Micro Devices, Inc.",Technology,Tech & Comms,41.305,913.892,0.102,0.1558,2.476,31000.0,10.0,3.0,8.0,3.0,5.0,Q4,Medium
AES,The AES Corporation,Utilities,Industrials & Energy,13.054,10.58,0.0957,0.1434,0.95,8336.0,10.0,8.0,8.0,4.0,9.0,Q1,High
AFL,AFLAC Incorporated,Financial Services,Finance,18.069,58.321,0.1691,0.2691,0.58,12716.0,8.0,5.0,6.0,9.0,8.0,Q3,High
A,"Agilent Technologies, Inc.",Healthcare,Healthcare,7.372,44.119,0.2097,0.1953,1.241,18200.0,8.0,3.0,7.0,6.0,5.0,Q2,Medium
APD,"Air Products and Chemicals, Inc",Basic Materials,Industrials & Energy,12.602,63.283,0.0002,-0.0037,0.754,21087.0,9.0,1.0,4.0,3.0,1.0,Q3,Low
ABNB,"Airbnb, Inc.",Consumer Cyclical,Consumer,13.159,99.53,0.3454,0.2045,1.161,8200.0,9.0,10.0,9.0,10.0,10.0,Q4,High
AKAM,"Akamai Technologies, Inc.",Technology,Tech & Comms,4.323,15.021,0.0892,0.0951,0.635,11000.0,2.0,6.0,2.0,6.0,4.0,Q1,Medium
ALB,Albemarle Corporation,Basic Materials,Industrials & Energy,5.908,13.088,0.0265,0.0379,1.334,7800.0,9.0,7.0,3.0,8.0,7.0,Q1,High
ARE,Alexandria Real Estate Equities,Real Estate,Consumer,2.84,9.173,-0.0408,-0.3608,1.168,514.0,8.0,9.0,1.0,8.0,8.0,Q1,High
ALGN,"Align Technology, Inc.",Healthcare,Healthcare,4.14,10.486,0.1016,0.0999,1.643,20435.0,1.0,4.0,9.0,7.0,7.0,Q1,High
ALLE,Allegion plc,Industrials,Industrials & Energy,4.288,12.949,0.3373,0.1536,0.841,13300.0,6.0,3.0,2.0,8.0,4.0,Q1,Medium
LNT,Alliant Energy Corporation,Utilities,Industrials & Energy,4.429,17.01,0.1114,0.1845,0.532,2948.0,5.0,1.0,1.0,3.0,1.0,Q1,Low
ALL,Allstate Corporation (The),Financial Services,Finance,70.137,63.172,0.4611,0.1897,0.15,53000.0,4.0,7.0,7.0,1.0,2.0,Q3,Low
GOOGL,Alphabet Inc.,Communication Services,Tech & Comms,445.866,4274.852,0.4868,0.5477,1.225,198933.0,8.0,8.0,10.0,10.0,10.0,Q4,High
GOOG,Alphabet Inc.,Communication Services,Tech & Comms,445.866,4212.112,0.4868,0.5477,1.225,198933.0,,,,,,Q4,
